О00000019591,497901,469575,468458,499963,505366,1101932,504584,167763,500015,468460,1094261,505387
Х130271072,1078748,1094740,474780,459587,1094772,467107,1017478,523335,1094742,474781,459588,1103032
Х12885,1094740,1094772,653687,504593,648187,505851,504584,1101085,1094774,653688,504576,648245
О00000016617,1075278,1088103,1094740,919415,696748,696017,1075277,1088107,1090524,696761,695539,505763
Х12660,1094740,1031511,577874,999529,504584,1083138,1085250,505374,725562,505429,505231,504589
О00000032916,1074757,1094740,1103078,1056066,1095014,695920,1123643,1096670,467285,521213,1114745,492437
77777Х106305,1094755,1094225,1102024,388559,1099626,1094740,461135,1094759,1096630,1102053,1010471,1118678
О00000033497,1017491,1104044,1094740,1094726,474744,1080239,523512,521291,1094731,726015,670774,758703
О00000025208,695605,504337,1084590,587242,1088938,696787,695999,1019833,695976,587031,1080269,696788
X30306115,1078050,1094740,670927,387773,1091164,1124899,1093560,1078051,669494,568099,1060783,1124909
Х12676,1014353,1101828,862807,1096400,1017422,1094740,672282,732297,1084140,648814,672284,1101832
77777Х14548,504565,802493,996026,1017517,742976,695622,1114401,504600,1125498,695705,504575,1125499
О00000014681,1096222,1094745,576844,1103090,1083138,1086026,1094772,1094661,1109676,1102206,1109698,1094751
X1099040567,389614,1017467,167502,670818,1094820,670840,638501,387790,692495,862807,670812,638500
О00000033893,1124896,1101275,505821,695920,505841,1100647,653851,1101278,505827,696079,505842,1100635
X19039759,461130,1094747,1094740,638780,836634,840360,1103011,1094760,1103079,648814,1084456,840361
О00000010790,1027066,1094740,991498,522323,522376,721409,459025,725543,721408,1102164
О00000000997,1103056,1114672,696300,695740,1094740,567704,1097317,696687,695975,695714,988960,1101084
X169164174,647063,695714,1073195,1088223,1073183,696480,696748,1083851,696446,507194,1088189,1081002
О00000010831,1000570,387786,1094225,1103032,1095114,1020207,863038,387781,388536,1096222,604795,1000557
О00000019023,1111515,1094774,1094740,648814,389382,1094772,1125414,648811,389383,1103032
О00000028124,461121,1112123,1094740,638780,443252,696451,569912,1103092,1112126,1109734,648814,443250
Х12587,641542,474065,1101766,588207,458529,1094740,1101767,469575,1101770,1102005,458528,469572
X1048041202150,600692,1094772,1087543,1017422,1094740,461122,1094227,1094774,1085609,491470,1101085,461135
Ю00000031205,506045,1094740,1010471,1096623,1010467,500015,506053,1101723,388559,1094225,1027070,1092838
О00000010077,520662,975412,506448,696446,1094740,1094753,504337,695588,647042,696074,1103062,504384
Х1302938,474817,474781,1094740,500015,467870,499961,468540,1094662,1097688,500007,467867,499958
77777Х14174,670764,1087543,1088860,696408,1045434,1088087,676566,744604,1026001,696348,670767,1089832
О00000002536,577054,1085127,676454,696687,504565,695277,591926,653852,1105837,696669,504600,1100734
Х1308714,1101803,695954,389368,635210,696444,1094740,1101532,1017429,589843,1072982,1101723,1102036
Ю00000025754,1099934,914731,914655,1083972,1095014,1075815,1099935,914793,1124010,521214,914733,626050
Х130733077,499971,1094740,433344,456975,504584,522450,499957,1101085,648812,456977,505429,522451
Х127512,459025,1094740,695920,814967,166922,1031511,670581,1101085,695623,1120535,1094956,1075589
О00000016648,504384,1088126,647528,167672,696561,496509,520710,1088124,648064,1077979,504337,1088104
X1350313980,1094740,638780,647052,1094670,1120553,639726,1097031,491470,647044,1094662,1078722,1118529
X30308202,1078051,1094740,1103078,1083138,1094314,1080614,1087543,1078050,862859,653841,1075589,1083130
X169125191,1094731,696446,696761,696557,1094740,504386,1094726,696757,696748,696562,1101085,520661
О00000034118,721412,1017422,1094740,721411,1095460,1093000,862837,433344,1101085,1094752,944962,491470
X169780313,1094725,433344,731212,648076,1094740,504336,1094731,648814,1114718,648063,1101085,520709
