Внешний код,Название,ID,Основной раздел,Источник данных
713132,Газовый баллон пропановый 12 л.,166493,Газовые баллоны,Импорт 1С
713103,Газовый баллон пропановый 27 л.,166494,Газовые баллоны,Импорт 1С
71305,Газовый баллон пропановый 50 л.,166495,Газовые баллоны,Импорт 1С
71374,Газовый баллон пропановый 5 л.,166496,Газовые баллоны,Импорт 1С
71250,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 4 мм",166497,Горелки газовые,Импорт 1С
71249,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 4 мм",166498,Горелки газовые,Импорт 1С
71247,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 4 мм",166499,Горелки газовые,Импорт 1С
71248,"Ацетиленовая сварочная горелка ДОНМЕТ Г2 225, свариваемая толщина: 7 мм",166500,Горелки газовые,Импорт 1С
712165,"Газовоздушная горелка БАМЗ ГВМ-1 с вентилем, 900 мм",166503,Кровельные горелки,Импорт 1С
X1303070334,"Газовоздушная горелка БАМЗ ГВМ-1 с рычагом, 900 мм",166504,Кровельные горелки,Импорт 1С
712166,"Газовоздушная горелка БАМЗ ГВМ-1Б, 480 мм",166505,Кровельные горелки,Импорт 1С
71231,"Газовоздушная горелка ДОНМЕТ ГВ 231, 400 мм",166506,Кровельные горелки,Импорт 1С
71279,"Газовоздушная горелка ДОНМЕТ ГВ 231, 850 мм",166507,Кровельные горелки,Импорт 1С
71205,"Сварочная горелка ДОНМЕТ ГЗУ 247, свариваемая толщина: 8 мм",166508,Горелки газовые,Импорт 1С
71312,"Редуктор ацетиленовый БАМЗ БАО-5-4, для баллонов",166509,"Редукторы, регуляторы давления",Импорт 1С
71311,"Редуктор ацетиленовый БАМЗ БАО-5МГ, для баллонов",166510,"Редукторы, регуляторы давления",Импорт 1С
71307,"Регулятор БАМЗ БКО-50-4, для баллонов, газ кислород",166511,"Редукторы, регуляторы давления",Импорт 1С
71322,"Редуктор пропановый БАМЗ БПО-5МГ, для баллонов",166514,"Редукторы, регуляторы давления",Импорт 1С
X13031183,"Регулятор БАМЗ БУО-5, для баллонов, газ углекислота, соединение: входное G 3/4, выходное M16x1.5",166515,"Редукторы, регуляторы давления",Импорт 1С
71315,"Регулятор БАМЗ У-30-2 без подогревателя, газ углекислота",166516,"Редукторы, регуляторы давления",Импорт 1С
71329,Редуктор азотный БАМЗ А-30-2,166517,"Редукторы, регуляторы давления",Импорт 1С
71324,"Редуктор давления лягушка бытовой газовый Випра РДСГ 1-1.2, баллонный",166519,"Редукторы, регуляторы давления",Импорт 1С
X113707,Редуктор давления газовый в комплекте с ротаметром ПТК У30/АР40-КР,166520,"Редукторы, регуляторы давления",Импорт 1С
X113704,Редуктор давления кислородный ПТК БКО-50-5,166522,"Редукторы, регуляторы давления",Импорт 1С
X113705,"Редуктор пропановый ПТК БПО-5-5, пропускная способность 5 м3/ч",166523,"Редукторы, регуляторы давления",Импорт 1С
71351,Редуктор аргоновый БАМЗ АР-40-2,166524,"Редукторы, регуляторы давления",Импорт 1С
70605,"Резак ацетиленовый ДОНМЕТ РГР-142А 9/9, толщина реза: 100 мм, диаметр ниппеля 9 мм",166525,Резаки,Импорт 1С
70630,"Резак ацетиленовый ДОНМЕТ РГР-300А, инжекторный, ручной",166526,Резаки,Импорт 1С
70643,"Резак пропановый ДОНМЕТ РГР-142П 6/6, инжекторный",166530,Резаки,Импорт 1С
70603,"Резак пропановый ДОНМЕТ РГР-142П 9/9, инжекторный",166531,Резаки,Импорт 1С
X113727,"Сварочный резак трехтрубный ПТК Р3-345П с рычагом, толщина реза: 300 мм, диаметр ниппеля 6/9",166533,Резаки,Импорт 1С
X11375341,"Сварочный резак ПТК Р3-345П с рычагом, 900 мм",166534,Резаки,Импорт 1С
70647,"Резак Автоген-М Маяк-2-01, вентильный, толщина реза: 300 мм, диаметр ниппеля 9 мм",166535,Резаки,Импорт 1С
70633,"Резак удлиненный Автоген-М Маяк-2-01, вентильный, для сталей, толщина реза: 300 мм",166536,Резаки,Импорт 1С
706195,"Резак Факел РС-3П, для сталей, толщина реза: 110 мм",166537,Резаки,Импорт 1С
706194,"Резак удлиненный Факел, для металла",166538,Резаки,Импорт 1С
715311,Картридж KEMPER 300,166540,Паяльные лампы,Импорт 1С
715312,Картридж KEMPER 600,166541,Паяльные лампы,Импорт 1С
715295,"Паяльная лампа KEMPER 1040A, расход топлива: 0.14 л/ч",166542,Паяльные лампы,Импорт 1С
715298,"Паяльная лампа KEMPER 1047, комплект с баллоном",166543,Паяльные лампы,Импорт 1С
715296,"Паяльная лампа KEMPER 1060 с пьезоподжигом, расход топлива: 0.11",166544,Паяльные лампы,Импорт 1С
715301,"Паяльная лампа KEMPER 2018, комплект с баллоном",166545,Паяльные лампы,Импорт 1С
71175,"Сварочная маска HH-10, плавное затемнение фильтра: 9-13",166548,Сварочные шлемы,Импорт 1С
71107,"Щиток защитный лицевой 11084  ""НБТ-01.У1"" с экраном из ПВХ, 400х200мм",166549,Щитки и каски,Импорт 1С
Х15248,Щиток НБТ-ЕВРО NEW,166550,Щитки и каски,Импорт 1С
71126,"Маска-шлем сварщика НН-С, размер смотрового окна: 102x52",166551,Сварочные шлемы,Импорт 1С
Х15425,Маска-шлем сварщика РОСОМЗ HH12 CRYSTALINE STANDART с автоматическим включением,166552,Сварочные шлемы,Импорт 1С
Х15243,Костюм сварщика  ОП 530г/м2,166554,Костюмы сварщика,Импорт 1С
Х15217,Комбинированный костюм сварщика из брезента и спилка,166555,Костюмы сварщика,Импорт 1С
71235,"Горелка TIG для аргонодуговой сварки АГНИ-03/07 со шлейфом 4 м., ток: DC 180А, AC 150А",166556,Горелки для аргонодуговой сварки TIG,Импорт 1С
71280,"Горелка TIG для аргонодуговой сварки АГНИ-03М со шлейфом, ток:  200А",166557,Горелки для аргонодуговой сварки TIG,Импорт 1С
71244,"Горелка TIG для аргонодуговой сварки АГНИ-17МУ, ток: DC 125А, AC 140А",166560,Горелки для аргонодуговой сварки TIG,Импорт 1С
X131105292,Горелка для полуавтоматической сварки Сварог MS15,166561,Горелки для полуавтоматической сварки,Импорт 1С
X131105293,"Горелка для полуавтоматической сварки СВАРОГ TECH MS24, вес 2 кг",166562,Горелки для полуавтоматической сварки,Импорт 1С
X131105300,"Горелка для полуавтоматической сварки СВАРОГ TECH MS36 ICT2998, вес 3 кг",166565,Горелки для полуавтоматической сварки,Импорт 1С
X131105302,Горелка для полуавтоматической сварки СВАРОГ MS450,166566,Горелки для полуавтоматической сварки,Импорт 1С
X4330111,Горелка для полуавтоматической сварки TBi 360,166575,Горелки для полуавтоматической сварки,Импорт 1С
X1311011107,"Инверторный сварочный полуавтомат РЕСАНТА САИПА-135, полуавтоматический, дуговая, 4.6 кВт",166585,Mig/mag сварочные полуавтоматы,Импорт 1С
X1311011108,"Сварочный полуавтомат РЕСАНТА САИПА-165, полуавтоматический, дуговая, 6.2 кВт",166586,Mig/mag сварочные полуавтоматы,Импорт 1С
X1311011155,"Компактный сварочный полуавтомат РЕСАНТА САИПА-200, мощность: 5.5 кВт",166587,Mig/mag сварочные полуавтоматы,Импорт 1С
X1311011156,"Инверторный сварочный полуавтомат РЕСАНТА САИПА-220, 6.4 кВт, напряжение: 220в",166588,Mig/mag сварочные полуавтоматы,Импорт 1С
X131101264,"Сварочный полуавтомат СВАРОГ MIG 2500 (J92), 380 В",166591,Mig/mag сварочные полуавтоматы,Импорт 1С
X131101213,Сварочный полуавтомат СВАРОГ MIG 3500 (J93),166593,Mig/mag сварочные полуавтоматы,Импорт 1С
709719,Сварочный полуавтомат СВАРОГ MIG 200 Y (J03),166595,Mig/mag сварочные полуавтоматы,Импорт 1С
709839,"Инверторный сварочный полуавтомат СВАРОГ MIG 250Y (J04), 12.5 кВт, напряжение: 380в",166596,Mig/mag сварочные полуавтоматы,Импорт 1С
X131102234,Сварочный аппарат ESAB BUDDY ARC 200,166612,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
X131102155,Сварочный аппарат ESAB Caddy ARC-251i,166613,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
X131102227,"Инверторный сварочный аппарат Ресанта САИ 160, 4800 вт, напряжение: 140-260В",166641,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
X131102228,"Инверторный сварочный аппарат РЕСАНТА САИ 190, напряжение: 220В, проволока: 1.6-5.0",166642,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
X131102229,"Инверторный сварочный аппарат MMA Ресанта САИ 220, 6600 вт, напряжение: 140-260В",166643,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
X131102230,"Инверторный сварочный аппарат MMA Ресанта САИ 250, 7700 вт, проволока: 6.0",166644,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
708333,Сварочный аппарат СВАРОГ ARC 145 (J6904) Case,166646,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
X131102212,"Сварочный аппарат СВАРОГ ARC 205B (Z203), напряжение: 220В, сетевой",166651,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
708259,Сварочный аппарат СВАРОГ ARC 250 (R112),166653,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
708210,Сварочный аппарат СВАРОГ ARC 250 (R06),166654,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
708203,Сварочный аппарат СВАРОГ ARC 315 (R14),166655,Mma сварочные аппараты дуговой сварки электродами,Импорт 1С
710347,"Инвертор для аргонодуговой сварки СВАРОГ TIG MMA 160 AC/DC 220В, вес 19 кг",166663,Аппараты аргоновой сварки tig,Импорт 1С
X13111056,Аппарат аргонодуговой сварки СВАРОГ TIG 185A (R108),166666,Аппараты аргоновой сварки tig,Импорт 1С
X13111057,Аппарат аргонодуговой сварки СВАРОГ TIG 185 P (R101),166667,Аппараты аргоновой сварки tig,Импорт 1С
710362,Аппарат аргонодуговой сварки СВАРОГ TIG 300S (R1101),166672,Аппараты аргоновой сварки tig,Импорт 1С
X13111058,Аппарат аргонно-дуговой сварки СВАРОГ TIG 400 P (J22),166674,Аппараты аргоновой сварки tig,Импорт 1С
710317,Промышленный аппарат воздушно-плазменной резки Сварог CUT 70,166678,Аппараты плазменной резки,Импорт 1С
Х21203113,Бензиновый генератор FUBAG TI 2000,166698,Бензиновые генераторы,Импорт 1С
Х106398,Электрический ударный гайковерт Makita 6906,166712,Сетевые гайковерты,Импорт 1С
Х106396,Электрический ударный гайковерт Makita TW 1000,166713,Сетевые гайковерты,Импорт 1С
Х106620,Аккумуляторная дрель-шуруповерт Makita 6271DWAE,166727,Аккумуляторные дрели-шуруповерты,Импорт 1С
Х106622,Аккумуляторная дрель-шуруповерт Makita 6281DWPE,166729,Аккумуляторные дрели-шуруповерты,Импорт 1С
77777Х106196,Аккумуляторная дрель-шуруповерт Энкор ДША-2 10.8ЭР/10Л 50010,166735,Аккумуляторные дрели-шуруповерты,Импорт 1С
Х106754,"Аккумуляторная отвертка ИНТЕРСКОЛ ОА-3,6",166736,Аккумуляторные отвертки,Импорт 1С
Х1061122,Аккумуляторная дрель-шуруповерт ЭНКОР ДША-12ЭР/10 50011,166738,Аккумуляторные дрели-шуруповерты,Импорт 1С
Х106701,Аккумуляторная дрель-шуруповерт STURM CD3112P,166749,Аккумуляторные дрели-шуруповерты,Импорт 1С
Х106604,Аккумуляторная дрель-шуруповерт Makita 6317 DWDE,166768,Аккумуляторные дрели-шуруповерты,Импорт 1С
Х12496,"Аккумуляторная дрель-шуруповерт HITACHI DS14DVF3, с фонарем",166778,Аккумуляторные дрели-шуруповерты,Импорт 1С
77777Х106178,Аккумуляторная дрель-шуруповерт HITACHI DS10DFL,166779,Аккумуляторные дрели-шуруповерты,Импорт 1С
Х106697,"Дрель ударная Metabo SBE 600 R+L Impuls 600607000, 600 Вт",166785,Ударные дрели,Импорт 1С
Х12317,"Дрель ударная HITACHI FDV16VB2, 550 Вт",166786,Ударные дрели,Импорт 1С
77777Х106167,"Дрель DeWalt DWD 115KS, 701 Вт",166787,Безударные дрели,Импорт 1С
Х106250,"Дрель с ударом DeWalt D 21721K, 650 Вт",166789,Ударные дрели,Импорт 1С
Х106514,"Дрель ударная BOSCH GSB 1600RE  0.601.218.121, 701 Вт",166793,Ударные дрели,Импорт 1С
77777Х106164,"Дрель Makita DP 4010, 720 Вт",166802,Безударные дрели,Импорт 1С
Х106374,"Дрель ударная Makita HP 2071F, 1010 Вт",166805,Ударные дрели,Импорт 1С
Х106133,"Дрель ударная Makita HP 2070, 1010 Вт",166806,Ударные дрели,Импорт 1С
Х12180,"Дрель ударная BOSCH GSB 13RE 0.601.217.102, 600 Вт",166808,Ударные дрели,Импорт 1С
Х106110,"Дрель ударная Makita HP 2050, 720 Вт",166818,Ударные дрели,Импорт 1С
Х106185,"Ручная дрель Makita 6408, 530 Вт",166819,Безударные дрели,Импорт 1С
Х106752,"Дрель ударная Makita HP 1641F, 680 Вт",166821,Ударные дрели,Импорт 1С
Х10653,"Дрель ударная DeWalt DWD024, 750 Вт",166822,Ударные дрели,Импорт 1С
Х106768,"Дрель ударная DeWalt DWD 024S, 750 Вт",166823,Ударные дрели,Импорт 1С
Х106486,"Дрель ударная STURM ID2154, 650 Вт",166834,Ударные дрели,Импорт 1С
Х106751,"Дрель ударная Makita HP 1640, 680 Вт",166835,Ударные дрели,Импорт 1С
77777Х106230,Дрель электрическая ударная ИНТЕРСКОЛ ДУ-13/810ЭР,166837,Ударные дрели,Импорт 1С
Х106547,"Дрель ударная ИНТЕРСКОЛ ДУ-16/1000ЭР, 1000 Вт",166840,Ударные дрели,Импорт 1С
Х106370,"Дрель ударная ИНТЕРСКОЛ ДУ-13/650 ЭР, 650 Вт",166841,Ударные дрели,Импорт 1С
Х106543,"Дрель ударная ИНТЕРСКОЛ ДУ-13/780ЭР, 780 Вт",166842,Ударные дрели,Импорт 1С
77777Х106267,Ударная дрель ИНТЕРСКОЛ ДУ-13/750 ЭР 546.1.0.00,166843,Ударные дрели,Импорт 1С
77777Х106231,Дрель ИНТЕРСКОЛ Д-10/350 ЭР 580.1.0.00,166844,Безударные дрели,Импорт 1С
77777Х106265,Дрель электрическая ударная ИНТЕРСКОЛ ДУ-13/580ЭР,166845,Ударные дрели,Импорт 1С
77777Х106264,Шуруповерт сетевой STURM ID2181P,166847,Сетевые шуруповерты,Импорт 1С
77777Х10614,Дрель-шуруповерт сетевой ИНТЕРСКОЛ Ш-8/700ЭР (для гипсокартона),166848,Сетевые шуруповерты,Импорт 1С
Х106103,Шуруповерт Makita 6805BV,166849,Сетевые шуруповерты,Импорт 1С
Х14319,"Перфоратор SDS-Max Makita HR 5001C, 1500 Вт, 17.5 Дж",166851,Перфораторы с патроном SDS max,Импорт 1С
Х143219,"Перфоратор SDS-Plus Sturm RH2514, 1400 Вт, 5,5 Дж",166857,Перфораторы с патроном SDS plus,Импорт 1С
Х143113,"Перфоратор SDS-Max Sturm RH2512M, 1200 Вт, 9 Дж",166858,Перфораторы с патроном SDS max,Импорт 1С
Х143153,"Перфоратор SDS-Max Makita HR 5211C, 1500 Вт, 19.7 Дж",166859,Перфораторы с патроном SDS max,Импорт 1С
Х143152,"Перфоратор SDS-Max Makita HR 5201C 152003, 1500 Вт, 19.7 Дж",166862,Перфораторы с патроном SDS max,Импорт 1С
Х143248,"Перфоратор SDS-Plus Makita HR 4501C, 13 Дж",166863,Перфораторы,Импорт 1С
Х143178,"Перфоратор SDS-Plus Makita HR 2810 153601, 2,9 Дж (сверление + долбление)",166864,Перфораторы с патроном SDS plus,Импорт 1С
Х143112,"Перфоратор SDS-Plus Makita HR 1830, 440 Вт, 1.3 Дж",166865,Перфораторы с патроном SDS plus,Импорт 1С
Х143174,"Перфоратор SDS-Plus Makita HR 2811FТ 153600, 2.9 Дж (сверление + долбление)",166868,Перфораторы с патроном SDS plus,Импорт 1С
Х143210,"Перфоратор SDS-Plus Makita HR 2470FТ 152030, 2.7 Дж (сверление + долбление)",166873,Перфораторы с патроном SDS plus,Импорт 1С
Х143185,"Перфоратор SDS-Plus BOSCH GBH 2-26 DRE 0.611.253.708, 2.7 Дж (сверление + долбление)",166874,Перфораторы с патроном SDS plus,Импорт 1С
Х14391,"Перфоратор SDS-Plus BOSCH GBH 2-26 DFR 0.611.254.768, 2.7 Дж (сверление + долбление)",166879,Перфораторы с патроном SDS plus,Импорт 1С
Х143124,"Перфоратор SDS-Plus Makita HR 2460 152028, 2.7 Дж",166881,Перфораторы с патроном SDS plus,Импорт 1С
Х143197,"Перфоратор SDS-Plus ЭНКОР ПЭ-750/24ЭР, 750 Вт, 2.7 Дж",166883,Перфораторы,Импорт 1С
Х143227,"Перфоратор SDS-Plus ИНТЕРСКОЛ П-22/620 ЭР, 2.2 Дж",166885,Перфораторы с патроном SDS plus,Импорт 1С
Х143154,"Перфоратор SDS-Plus Makita HR 2470, 2.7 Дж (сверление + долбление)",166889,Перфораторы с патроном SDS plus,Импорт 1С
Х143251,"Перфоратор SDS-Plus ИНТЕРСКОЛ П-20/550 ЭР, 550 Вт, 1.8 Дж",166890,Перфораторы,Импорт 1С
Х143190,"Перфоратор SDS-Plus Интерскол П-26/800ЭР 426.0.1.30, 780 Вт, 3 Дж",166891,Перфораторы с патроном SDS plus,Импорт 1С
Х143230,"Перфоратор SDS-Plus ИНТЕРСКОЛ П-30/900ЭР 86.1.0.00, 900 Вт, 3,3 Дж",166892,Перфораторы с патроном SDS plus,Импорт 1С
Х143198,"Перфоратор SDS-Plus Энкор ПЭ-870/26ЭР 50113, 870 Вт, 3,2 Дж",166893,Перфораторы с патроном SDS plus,Импорт 1С
Х143208,"Перфоратор SDS-Plus ИНТЕРСКОЛ П-24/700 ЭР, 720 Вт, 2,6 Дж",166897,Перфораторы,Импорт 1С
Х1305110,"Высечные ножницы по металлу Makita JN 1601 [толщина реза: 1,6 мм, 2200 ход/мин, вес 1,6 кг]",166903,Электрические ножницы,Импорт 1С
Х1271413,"Шлицевые ножницы по металлу ИНТЕРСКОЛ НШ-1,2/520",166906,Электрические ножницы,Импорт 1С
X1350185,Отбойный молоток Makita HM 1304,166909,Молотки отбойные,Импорт 1С
X13501130,Отбойный молоток Makita HM 1213C,166912,Молотки отбойные,Импорт 1С
X13501120,Отбойный молоток Makita HM 1203C,166913,Молотки отбойные,Импорт 1С
X1350199,Отбойный молоток DeWalt D 25899K,166914,Молотки отбойные,Импорт 1С
Х12764,Строительный фен Makita HG 651СК,166919,Строительные фены,Импорт 1С
Х12808,Термопистолет BOSCH GHG 660 LCD 0.601.944.703,166920,Строительные фены,Импорт 1С
Х14114,Электрический лобзик Makita 4329,166922,Электрические лобзики,Импорт 1С
Х14138,Электрический лобзик ЭНКОР ЛЭ-750/80 Э,166923,Электрические лобзики,Импорт 1С
77777Х1483,Электрический лобзик ИНТЕРСКОЛ МП-100/700Э,166925,Электрические лобзики,Импорт 1С
77777Х1487,Электрический лобзик ИНТЕРСКОЛ МП-65/550Э,166926,Электрические лобзики,Импорт 1С
Х14120,Электрический лобзик Makita 4327,166928,Электрические лобзики,Импорт 1С
Х1473,Лобзик электрический ЭНКОР ЛЭ-600/60Э,166929,Электрические лобзики,Импорт 1С
Х14119,Электрический лобзик Makita 4326,166932,Электрические лобзики,Импорт 1С
Х1453,Электрический лобзик STURM JS4061P,166935,Электрические лобзики,Импорт 1С
77777Х1472,Электрический лобзик Makita 4350FCT,166937,Электрические лобзики,Импорт 1С
Х14131,Электрический лобзик Makita 4351FCT,166941,Электрические лобзики,Импорт 1С
Х1483,Электрический лобзик HITACHI CJ65V3,166942,Электрические лобзики,Импорт 1С
Х1469,Электрический лобзик DeWalt DW 333 K,166943,Электрические лобзики,Импорт 1С
Х11752,Вибрационная шлифмашина ЭНКОР ПМЭ-250/182,166945,Вибрационные шлифовальные машины,Импорт 1С
Х11854,Машина плоскошлифовальная ИНТЕРСКОЛ ПШМ-115/300Э,166946,Вибрационные шлифовальные машины,Импорт 1С
Х11728,Вибрационная шлифмашина STURM OS8030,166947,Вибрационные шлифовальные машины,Импорт 1С
Х11112,Вибрационная шлифмашина Makita BO 3700,166948,Вибрационные шлифовальные машины,Импорт 1С
Х11179,Шлифмашина вибрационная Makita BO3711,166949,Вибрационные шлифовальные машины,Импорт 1С
Х11657,Шлифмашина вибрационная Makita 9046,166951,Вибрационные шлифовальные машины,Импорт 1С
Х11118,Вибрационная шлифмашина Makita BO 4900 V,166952,Вибрационные шлифовальные машины,Импорт 1С
Х11256,Шлифмашина ленточная Makita 9910,166956,Ленточные шлифовальные машины,Импорт 1С
Х11163,Шлифмашина ленточная Makita 9404,166959,Ленточные шлифовальные машины,Импорт 1С
Х11132,Шлифмашина ленточная  Makita 9911,166960,Ленточные шлифовальные машины,Импорт 1С
Х1149,Шлифмашина ленточная ИНТЕРСКОЛ ЛШМ-100/1200Э,166962,Ленточные шлифовальные машины,Импорт 1С
Х11863,"Машина угловая полировальная ИНТЕРСКОЛ УПМ-180/1300Э, электронный регулятор об",166963,Полировальные машины,Импорт 1С
Х11876,"Машина угловая полировальная с шлифкругом ИНТЕРСКОЛ УПМ-180/1300ЭМ, доп рукоятка",166964,Полировальные машины,Импорт 1С
Х12296,"Шлифмашина полировальная Hitachi SP18VA, сетевая, резьба полировального шпинделя: M14",166967,Полировальные машины,Импорт 1С
Х11582,Шлифмашина прямая Makita GD 0600,166969,Прямые шлифовальные машины,Импорт 1С
Х11618,Шлифмашина прямая Makita GD 0810 C,166970,Прямые шлифовальные машины,Импорт 1С
Х11517,Шлифмашина прямая Makita GD 0800 C,166971,Прямые шлифовальные машины,Импорт 1С
Х11715,Шлифмашина угловая Makita 9558 HN,166973,Угловые шлифовальные машины,Импорт 1С
Х1194,Шлифмашина угловая Makita 9069,166981,Угловые шлифовальные машины,Импорт 1С
Х11475,Шлифмашина угловая Makita GA 9020SF,166986,Угловые шлифовальные машины,Импорт 1С
Х11797,Шлифмашина угловая Makita GA 5030,166987,Угловые шлифовальные машины,Импорт 1С
Х11716,Шлифмашина угловая Makita 9565 HZ,166991,Угловые шлифовальные машины,Импорт 1С
Х11448,Шлифмашина угловая Makita GA 9020,166992,Угловые шлифовальные машины,Импорт 1С
Х1111,Шлифмашина угловая Makita 9069SF,166994,Угловые шлифовальные машины,Импорт 1С
Х11724,Шлифмашина угловая Makita 9557HN01,166996,Угловые шлифовальные машины,Импорт 1С
Х11644,Шлифмашина угловая Makita 9558HNK,166999,Угловые шлифовальные машины,Импорт 1С
Х11818,Шлифмашина угловая STURM AG9512P,167006,Угловые шлифовальные машины,Импорт 1С
Х11490,Угловая шлифмашина DeWalt D 28141,167018,Угловые шлифовальные машины,Импорт 1С
Х11485,Шлифмашина угловая Makita GA 9040 SF01,167025,Угловые шлифовальные машины,Импорт 1С
Х11803,Угловая шлифмашина Metabo WQ1000,167029,Угловые шлифовальные машины,Импорт 1С
Х11812,Шлифмашина угловая Makita GA 5021 C,167030,Угловые шлифовальные машины,Импорт 1С
Х11573,Шлифмашина угловая Makita 9565CVL,167031,Угловые шлифовальные машины,Импорт 1С
Х11799,Шлифмашина угловая BOSCH GWS 22-230H 0.601.882.103,167033,Угловые шлифовальные машины,Импорт 1С
Х12725270,Шлифмашина угловая  BOSCH GWS 22-230JH  0.601.882.203,167034,Угловые шлифовальные машины,Импорт 1С
Х11366,Шлифмашина эксцентриковая Makita BO 5030,167040,Эксцентриковые шлифовальные машины,Импорт 1С
Х1218334,Шлифмашина эксцентриковая STURM OS8120R,167041,Эксцентриковые шлифовальные машины,Импорт 1С
Х1147,Шлифмашина эксцентриковая Metabo FSX 200 Intec 609225500,167047,Эксцентриковые шлифовальные машины,Импорт 1С
Х11762,Шлифмашина эксцентриковая Энкор МШЭ-450/150Э 50302,167050,Эксцентриковые шлифовальные машины,Импорт 1С
Х12806,Сетевой рубанок Интерскол Р-82/710,167051,Электрические рубанки,Импорт 1С
Х12610,Столярный электрорубанок Интерскол Р-102/1100ЭМ,167054,Электрические рубанки,Импорт 1С
Х12811,Электрический рубанок Интерскол Р-110/1100М,167055,Электрические рубанки,Импорт 1С
Х12438,Электрорубанок Sturm P1011,167056,Электрические рубанки,Импорт 1С
Х12134,Электрорубанок Makita 1911B,167062,Электрические рубанки,Импорт 1С
Х12674,Сетевой рубанок Makita KP0810C,167063,Электрические рубанки,Импорт 1С
Х1258,Электрорубанок DeWalt D 26500,167066,Электрические рубанки,Импорт 1С
Х12744,Электрический рубанок Makita KP 0810,167069,Электрические рубанки,Импорт 1С
Х1271850,Электрический рубанок Bosch GHO 15-82,167070,Электрические рубанки,Импорт 1С
Х12780,Фрезер ИНТЕРСКОЛ ФМ-55/1000Э,167078,Фрезеры,Импорт 1С
Х12807,"Фрезер Makita RP 1800 F, число оборотов 22000 об / мин",167080,Фрезеры,Импорт 1С
Х12467,"Фрезер универсальный Makita RP 1110 C, число оборотов 24000 об / мин",167081,Фрезеры,Импорт 1С
Х12748,"Фрезер Makita RP 0900, 900 вт, макс оборотов 27000 об / мин",167084,Фрезеры,Импорт 1С
Х1203,Фрезер DeWalt DW 621,167087,Фрезеры,Импорт 1С
Х1272125,"Универсальный фрезер Bosch POF 1200 AE, 1200 вт, 28000 об / мин",167088,Фрезеры,Импорт 1С
Х12163,"Фрезер STURM ER1112, 1200 вт, 34000 об с регулировкой в комплекте с кейсом",167092,Фрезеры,Импорт 1С
Х12570,Фрезер DeWalt DW 625 E,167094,Фрезеры,Импорт 1С
Х11360,"Штроборез Makita SG 150, потребляемая мощность: 1800 вт",167096,Штроборезы,Импорт 1С
Х1217010,"Сабельная пила в дом ИНТЕРСКОЛ НП-120/1010Э, 0-2400 ход/мин, глубина пропила (металл) 120 мм",167103,Сабельные пилы,Импорт 1С
Х145196,Сабельная пила Makita JR 3060 T,167104,Сабельные пилы,Импорт 1С
Х145371,"Циркулярная пила от электроэнергии ИНТЕРСКОЛ ДП-210/1900М, 5000 оборотов в мин",167105,Циркулярные пилы,Импорт 1С
77777Х14570,"Циркулярная пила ИНТЕРСКОЛ ДП-210/1900ЭМ, 5000 оборотов в мин",167106,Циркулярные пилы,Импорт 1С
Х145370,"Циркулярная пила с высокой производительностью ИНТЕРСКОЛ ДП-190/1600М, 4800 оборотов в мин",167107,Циркулярные пилы,Импорт 1С
Х145361,"Циркулярная пила для дома ИНТЕРСКОЛ ДП-235/2000М, 4200 оборотов в мин",167108,Циркулярные пилы,Импорт 1С
Х145369,"Циркулярная пила с поперечным мотором ИНТЕРСКОЛ ДП-165/1200, количество дополнительных дисков - 1",167109,Циркулярные пилы,Импорт 1С
Х14539,Циркулярная пила Makita 5705R,167116,Циркулярные пилы,Импорт 1С
Х145108,"Ручная циркулярная пила Makita 5903R, макс. скорость вращения 4500 оборотов в минуту",167119,Циркулярные пилы,Импорт 1С
Х145307,"Ручная циркулярная пила BOSCH GKS 190 0.601.623.000, 5500 оборотов в мин",167125,Циркулярные пилы,Импорт 1С
77777Х14567,"Надежная циркулярная пила для всех видов древесных материалов STURM CS50161, глубина пропила 55 мм",167128,Циркулярные пилы,Импорт 1С
X18824,"Бензопила STIHL  MS 180 14"" Picco 1,3mm 11302000473",167133,Бензопилы,Импорт 1С
77777X188140,"Бензопила STIHL MS180 16""Picco 1,3mm 11302150003n",167135,Бензопилы,Импорт 1С
X18809144,Бензопила Oleo-MAC GS 35-16 5024-9002E1T,167140,Бензопилы,Импорт 1С
77777X188147,Бензопила PARTNER P340S 9666990-01,167144,Бензопилы,Импорт 1С
X188313,Бензопила PATRIOT 4518,167147,Бензопилы,Импорт 1С
X188193,Бензопила STIHL MS 230 14 Picco,167153,Бензопилы,Импорт 1С
X188299,Бензопила ECHO CS-350WES-14,167154,Бензопилы,Импорт 1С
