Внешний код,Название,ID,Основной раздел,Источник данных
X428900062,Муфта FUSITEK раз. ВР 25Х3/4 (FT05602),695835,Полипропиленовые муфты и переходники,Импорт 1С
X16913202118,"Муфта TEBO комб.разъем.ВР 25*1""F п/п 015020806",695836,Полипропиленовые муфты и переходники,Импорт 1С
X428993,Тройник FUSITEK ВР 32*1 шестигр. с внутренней резьбой (FT04008) для полипропиленовой трубы,695837,Полипропиленовые тройники,Импорт 1С
X428990,Угол полипропиленовый FUSITEK внутренняя резьба 32*1 (FT04408),695838,Полипропиленовые уголки для труб,Импорт 1С
X169132111,Обратный клапан TEBO 32 PN25 015060603,695839,Клапаны,Импорт 1С
X16913264,Фланец стальной TEBO 50 PN10/сталь Ду 40,695840,Стальные фланцы,Импорт 1С
X16914502116,Ручка FRAP F0008 (уп.100шт.),695841,Для смесителей и кранов,Импорт 1С
X6991453047817,"Гофрированный воздуховод ЭРА 12ВА, 120 мм",695842,Гофрированные (гибкие) воздуховоды,Импорт 1С
X699145381,Отвод  45 d= 200,695843,Отводы вентиляционные,Импорт 1С
X699145322,"Переход оцинкованный вентиляционный Лиссант 1081317850, 250/160 мм",695844,Переходы оцинкованные вентиляционные,Импорт 1С
X69914537,"Решетка вентиляционная Vents МВ 450/2, белая",695845,Решетки вентиляционные,Импорт 1С
X699145550,Хомут для гориз. крепления тип FCD 315мм М8,695846,Хомуты,Импорт 1С
720330170,"Электроды ESAB ОК 46.00 2.5мм (5,3кг)",695847,Электроды,Импорт 1С
X1699283,"Присоединительный комплект  Ду-15мм 3/4"" А,15-3/4",695848,Счетчики для воды,Импорт 1С
X699145504100,Трубка ТИЛИТ Супер 114/13,695849,Полиэтиленовые трубы,Импорт 1С
90164148,"Державка ЗУБР 29533_z01 ""ЭКСПЕРТ"" для бимет. коронок, D 14-30мм, шестигр. хвостовик",695851,Прочие насадки для дрелей и шуруповертов,Импорт 1С
Х1305578,"Лезвия для канцелярских ножей в блистере STAYER 09179-S5, 25 мм, пластиковый пенал",695852,Лезвия для канцелярского ножа,Импорт 1С
X13171719,"Переходник STIHL 1""*20*9,5 к TS 00007084200",695853,Для бензорезов,Импорт 1С
Х12403515,Шлифовальная втулка Jet 38х115 60G,695854,Прочие комплектующие для шлифмашин,Импорт 1С
Х12403518,Шлифовальная втулка Jet 50х115 60G (для TSPS450 / POS-2),695855,Шлифовальные втулки для станков,Импорт 1С
Х12403517,Шлифовальная втулка Jet 50х115 80G,695856,Шлифовальные втулки для станков,Импорт 1С
X169138187,"Заглушка латунная ALTSTREAM вн. р.1.1/2"" (003110105)",695857,Латунные заглушки,Импорт 1С
X428900007,Тройник FUSITEK 75 мм (FT01107) для полипропиленовой трубы,695858,Полипропиленовые тройники,Импорт 1С
X4289128,Тройник FUSITEK переходной 75*40*75 (FT01218) для полипропиленовой трубы,695859,Полипропиленовые тройники,Импорт 1С
720525,Сварочная проволока омедненная Askaynak СВ08Г2с 1.0мм(15кг),695860,Сварочная проволока,Импорт 1С
Х1316137,"Отвес конусный MATRIX 84834, 5 м",695861,Строительные уровни,Импорт 1С
X16913840260,Кран шаровой ГАЛЛОП DN-15 СТАНДАРТ 233 бабочка Н*Н 0103203,695862,Арматура запорная и регулирующая,Импорт 1С
X169503569,"Американка латунная ALTSTREAM 3/4"" Н/В прямая (уп.24шт) 003070102",695863,Американки латунные,Импорт 1С
X1691385932,Тройник ALTSTREAM переходной в.р. 3/4*1/2*3/4 003040201,695864,Латунные тройники,Импорт 1С
X1691385777,"Клапан ALTSTREAM обратный 3/4"" 014100102",695865,Клапаны,Импорт 1С
X1691310244,Тройник обжимной ALTSTREAM 16*1/2М*16 НР м/п(уп.25 шт) 002040501,695866,Тройники обжимные для трубопроводов,Импорт 1С
X428900043,Муфта FUSITEK с нак. г. евроконус 20Х3/4 (FT05301),695867,Полипропиленовые муфты и переходники,Импорт 1С
X4289123,Угол полипропиленовый FUSITEK 90 75 (FT01707),695868,Полипропиленовые уголки для труб,Импорт 1С
X169500222,Компенсатор TEBO п/п 25 (уп.3шт) 015090303,695869,Полипропиленовые муфты и переходники,Импорт 1С
X1691450267,Держатель стакана FRAP F1506,695870,Для мебели и ванных комнат,Импорт 1С
X16914502111,Крючки FRAP F1605-1,695871,Для мебели и ванных комнат,Импорт 1С
X699437011,Материал фильтрующий ФилТек ФТ-150-G3,695872,Для кондиционеров,Импорт 1С
X6991453047821,"Гофрированный воздуховод ЭРА 11ВА, 110 мм",695873,Гофрированные (гибкие) воздуховоды,Импорт 1С
X699145380,Отвод круглый ОK 45° D160 (оц. 0.45),695874,Отводы вентиляционные,Импорт 1С
X6991454235,"Диффузор вентиляционный SHUFT DVS-E-P 100, 100 мм",695875,Диффузоры вентиляционные,Импорт 1С
Х13056609,"Лезвия для канцелярских ножей сегментированные STANLEY 011301, 18мм, 10шт",695878,Лезвия для канцелярского ножа,Импорт 1С
Х13024905,"Кардан JONNESWAY 1/4"" S15H240",695880,Прочие насадки для дрелей и шуруповертов,Импорт 1С
X132646137,Сварочная проволока омедненная ESAB СВ08Г2с 0.8мм(15кг),695881,Сварочная проволока,Импорт 1С
720372,Вольфрамовый электрод  WT-20 2.4/175,695882,Электроды,Импорт 1С
X132646125,"Сварочная проволока омедненная СВ08Г2С 0,8мм ЧЗСМ ом. D200/5 PH ГОСТ 2246-70",695883,Сварочная проволока,Импорт 1С
71607,Сварочный кабель  КГ-25 (10 м),695884,Кабели,Импорт 1С
X699145441935838,"Соединитель пластиковых воздуховодов Эра 620ТФ10П, 60x204/100 мм",695885,Соединители пластиковых воздуховодов,Импорт 1С
X699437143,Адаптер  42767,695886,Адаптеры и переходники для дымоходов,Импорт 1С
X43302115,Держатель наконечника TBi 342P008014,695887,Держатели наконечников,Импорт 1С
X27903134,Вилка  каб. 16А 3Р+Е 380В 014,695888,Розетки,Импорт 1С
77777X2791022,"Колодка EKF ""Эксперт"" 4 гнезда 10А б/з ЭКФ",695889,Удлинители,Импорт 1С
720446,Электроды ESAB OK 46.00 4мм,695890,Электроды,Импорт 1С
X1692546263,"Переходник ALTSTREAM вн-нар 1 1/4""*3/4"" (уп.40 шт)",695891,Муфты и переходники,Импорт 1С
X1697669,Труба  канализ.110*1000,695892,Канализационные трубы,Импорт 1С
X169138190,"Заглушка латунная ALTSTREAM н.р.1.1/2"" (003100106)",695893,Латунные заглушки,Импорт 1С
X1692546167,"Муфта ALTSTREAM переходная 3/4""*1"" 1/4(в уп.30 шт)",695894,Муфты и переходники,Импорт 1С
X169254628861,"Муфта STOUT ВВ переходная никелированная 1""*3/4 SFT-0006-000134",695895,Муфты и переходники,Импорт 1С
X428900068,Шаровой кран FUSITEK для ГВС 25 (FT07102),695896,Арматура запорная и регулирующая,Импорт 1С
X169500261,Кран TEBO шаровой 25мм (уп.10 шт.) 015060102-02,695897,Арматура запорная и регулирующая,Импорт 1С
X4289113,Муфта FUSITEK ВР 32*1 шестигр. (FT04208),695898,Полипропиленовые муфты и переходники,Импорт 1С
X16913129,"Штуцер TEBO с накидной гайкой 25*1"" (015091006)",695899,Полипропиленовые муфты и переходники,Импорт 1С
X4289127,Тройник FUSITEK переходной 75*32*75 (FT01217) для полипропиленовой трубы,695900,Полипропиленовые тройники,Импорт 1С
X1691320438,Угол полипропиленовый TEBO 25*3/4 с накидной гайкой мет.шт.,695901,Полипропиленовые уголки для труб,Импорт 1С
X16913253,"Фильтр грубой очистки полипропиленовый TEBO 015070111-02, п/п 20мм ВН/НР",695902,Пластиковые фитинг-фильтры и полифосфатные,Импорт 1С
X699437142,Адаптер  42950,695903,Для прочей техники,Импорт 1С
720553,Вольфрамовый электрод  WI-20 2.4мм,695904,Электроды,Импорт 1С
X69914550426,Хомут SHUFT FCC 160,695905,Хомуты,Импорт 1С
X699145471,"Переход оцинкованный вентиляционный Лиссант 1081317710, 200/100 мм",695906,Переходы оцинкованные вентиляционные,Импорт 1С
X699145430917,"Решетка вентиляционная Эра 2020МЭ, 200x200 мм",695907,Решетки вентиляционные,Импорт 1С
X6991454321621,"Решетка вентиляционная Эра 2525МЦ, 250x250 мм",695908,Решетки вентиляционные,Импорт 1С
720320,Электроды  МР-3С 2 мм,695910,Электроды,Импорт 1С
X1691385644,"Ниппель ALTSTREAM перех. 1 1/4""х1/2""",695911,Бочонки латунные,Импорт 1С
X16913840257,Кран шаровой ГАЛЛОП DN-15 СТАНДАРТ 221 В*Н 0103152,695912,Арматура запорная и регулирующая,Импорт 1С
X16912830,Труба ALTSTREAM м/п 32*3.0 (в бухте 50м),695913,Металлопластиковые трубы,Импорт 1С
X16912991,Труба FUSITEK Faser стекловолокно ПН20 40мм (FT00404),695914,Полипропиленовые трубы,Импорт 1С
X1317131105,Лист шлифовальный ИНТЕРСКОЛ для ПШМ 80/115*280 (10шт) 2080628008000,695915,Шлифовальные листы,Импорт 1С
720487,Вольфрамовый электрод  WL-20 2.4мм,695916,Электроды,Импорт 1С
720151,Электроды  ОЗС-12 2мм,695917,Электроды,Импорт 1С
